prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
75823,6-12,-0.2730321533304573,Bird Island Egg Heist,blah,blahblah,Angry Birds™,US,29.99,-0.3985307500081828,-0.655308646846557,Average,-0.04568866442619025,-0.3650269056297118
75822,6-12,-0.4041724230607943,Piggy Plane Attack,blah,blahblah,Angry Birds™,US,19.99,-0.3985307500081828,-0.655308646846557,Easy,0.990696524039318,-0.3650269056297118
75821,6-12,-0.517265866681452,Piggy Car Escape,blah,blahblah,Angry Birds™,US,12.99,-0.14716871018238062,-0.13247902891623026,Easy,-0.4602427398123939,-0.2040727248656782
21030,12+,0.6353247608567398,United States Capitol Building,blah,blahblah,Architecture,US,99.99,0.18798067625202225,-1.3524148040869928,Average,0.16158837326691067,0.11783563666239048
21035,12+,0.28882569955089504,Solomon R. Guggenheim Museum®,blah,blahblah,Architecture,US,79.99,-0.06338136357377991,-2.0495209613274286,Challenging,0.16158837326691067,-0.2040727248656782
21039,12+,0.11196680367603681,Shanghai,blah,blahblah,Architecture,US,59.99,-0.2588851723271816,-1.1781382647768837,Average,0.783419486346217,0.27878981742642556
21028,12+,0.11316992541668211,New York City,blah,blahblah,Architecture,US,59.99,0.5789882937588257,-1.1781382647768837,Average,-0.6675197775054948,-0.2040727248656782
21029,12+,0.3321380822141256,Buckingham Palace,blah,blahblah,Architecture,US,49.99,0.2159097917882225,0.04179751039387968,Average,0.3688654109600134,0.11783563666239048
21034,12+,-0.04323590086720612,London,blah,blahblah,Architecture,US,39.99,0.18798067625202225,-1.3524148040869928,Average,0.3688654109600134,-0.2040727248656782
21033,12+,-0.07211082264269318,Chicago,blah,blahblah,Architecture,US,39.99,-0.14716871018238062,-1.3524148040869928,Average,0.5761424486531144,0.4397439981904592
21036,12+,-0.14189188360012023,Arc de Triomphe,blah,blahblah,Architecture,US,39.99,-0.06338136357377991,-0.48103210753644854,Average,-0.25296570211929115,-1.0088436286858484
21019,12+,-0.22009479674206434,The Eiffel Tower,blah,blahblah,Architecture,US,34.99,1.0258541423380294,-2.0495209613274286,Average,0.16158837326691067,0.27878981742642556
21032,12+,-0.17196992711625259,Sydney,blah,blahblah,Architecture,US,29.99,-0.2588851723271816,-0.30675556822633865,Easy,0.16158837326691067,-0.04311854410164314
17101,7-12,0.4127472388373603,BOOST Creative Toolbox,blah,blahblah,BOOST,US,159.99,1.305145297700032,-1.0038617254667752,Average,-2.3257360790503085,-1.1697978094498829
41597,10+,0.24551331688766445,Go Brick Me,blah,blahblah,BrickHeadz,US,29.99,-0.09131047910998015,0.5646271283242064,Average,0.5761424486531144,0.9226065404825614
41614,10+,-0.3247663881782049,Owen & Blue,blah,blahblah,BrickHeadz,US,19.99,-0.42645986554438303,-2.398074039947647,Easy,0.990696524039318,1.24451490201063
41613,10+,-0.4137973969859567,Mr. Incredible & Frozone,blah,blahblah,BrickHeadz,US,19.99,-0.42645986554438303,1.087456746254533,Very Easy,0.990696524039318,1.24451490201063
41609,10+,-0.42703173613305495,Chewbacca™,blah,blahblah,BrickHeadz,US,9.99,-0.42645986554438303,-4.140839433048737,Very Easy,-3.154844229822715,-0.3650269056297118
41608,10+,-0.43665671005821727,Han Solo™,blah,blahblah,BrickHeadz,US,9.99,-0.42645986554438303,-4.140839433048737,Very Easy,-1.0820738528916984,-0.3650269056297118
41604,10+,-0.484781579684029,Iron Man MK50,blah,blahblah,BrickHeadz,US,9.99,-0.3706016344719826,-0.655308646846557,Average,0.3688654109600134,0.4397439981904592
41605,10+,-0.4799690927214479,Thanos,blah,blahblah,BrickHeadz,US,9.99,-0.3985307500081828,-2.398074039947647,Easy,0.990696524039318,1.24451490201063
41606,10+,-0.4703441187962855,Star-Lord,blah,blahblah,BrickHeadz,US,9.99,-0.42645986554438303,1.087456746254533,Easy,0.990696524039318,1.24451490201063
41607,10+,-0.44267231876144375,Gamora,blah,blahblah,BrickHeadz,US,9.99,-0.42645986554438303,0.21607404970398805,unknown,0.990696524039318,0.11783563666239048
41485,10+,-0.496812797090482,Finn,blah,blahblah,BrickHeadz,US,9.99,-0.3985307500081828,-2.398074039947647,Easy,-0.04568866442619025,-0.3650269056297118
40270,10+,-0.43785983179886256,Valentine's Bee,blah,blahblah,BrickHeadz,US,9.99,-0.2588851723271816,-2.0495209613274286,Easy,0.783419486346217,0.7616523597185278
41599,10+,-0.4342504665769267,Wonder Woman™,blah,blahblah,BrickHeadz,US,9.99,-0.31474340339958207,0.39035058901409647,Easy,0.990696524039318,1.24451490201063
41598,10+,-0.45951602313047785,The Flash™,blah,blahblah,BrickHeadz,US,9.99,-0.3706016344719826,-2.9209036578779735,Very Easy,-1.0820738528916984,-1.9745687132700538
41603,10+,-0.44989104920531553,Kylo Ren™,blah,blahblah,BrickHeadz,US,9.99,-0.31474340339958207,-0.13247902891623026,Easy,0.990696524039318,0.9226065404825614
41602,10+,-0.46312538835241374,Rey,blah,blahblah,BrickHeadz,US,9.99,-0.3706016344719826,0.21607404970398805,Easy,0.990696524039318,0.4397439981904592
41600,10+,-0.44387544050208905,Aquaman™,blah,blahblah,BrickHeadz,US,9.99,-0.42645986554438303,-5.883604826149827,Very Easy,-1.0820738528916984,-1.9745687132700538
41601,10+,-0.476359727499512,Cyborg™,blah,blahblah,BrickHeadz,US,9.99,-0.3985307500081828,-1.5266913433971019,Easy,0.990696524039318,-0.3650269056297118
